"mapruleid","shortname","network","allowedservergeo","excludedserverGeo"
"1","g","freeflow","",""
"2","l","freeflow","",""
"3","ms","freeflow","",""
"4","p","freeflow","",""
"6","c","freeflow","",""
"7","ca","freeflow","",""
"8","cb","freeflow","",""
"9","cc","freeflow","EU_V1",""
"11","ce","freeflow","",""
"12","ch","freeflow","",""
"14","sripns","map","",""
"15","na","freeflow","US",""
"16","ci","essl","",""
"17","ch1","freeflow","",""
"18","chaus","freeflow","",""
"19","us","freeflow","",""
"20","usd","freeflow","",""
"21","ci","freeflow","",""
"22","r","freeflow","",""
"23","s1","freeflow","",""
"25","x","freeflow","",""
"26","cheus","freeflow","",""
"27","chcus","freeflow","",""
"28","chwus","freeflow","",""
"29","cheu","freeflow","",""
"30","chapac","freeflow","",""
"31","g","essl","",""
"32","neu","essl","",""
"33","na","essl","CONUS",""
"34","cf","essl","",""
"35","cg","essl","",""
"36","ch","essl","",""
"37","cj","essl","",""
"38","cj1","essl","",""
"39","o","freeflow","",""
"40","i6o","freeflow","",""
"41","dsco","freeflow","",""
"42","diso2","freeflow","","DIS_EXCL1"
"43","i6diso2","freeflow","","DIS_EXCL1"
"44","dscdiso2","freeflow","","DIS_EXCL1"
"45","http_inges","ingest","",""
"46","http_inges","ingest","",""
"81","chsa","freeflow","",""
"82","ch2","freeflow","",""
"83","s2","freeflow","",""
"86","cf","freeflow","",""
"87","cg","freeflow","",""
"88","e","freeflow","",""
"89","s3","freeflow","",""
"90","rss","freeflow","",""
"91","cheus2","freeflow","",""
"92","chcus2","freeflow","",""
"93","chwus2","freeflow","",""
"94","cheu2","freeflow","",""
"95","mm1","freeflow","","HK"
"96","mm2","freeflow","","HK"
"97","mm3","freeflow","",""
"104","dsg1","freeflow","",""
"105","cj","freeflow","",""
"106","ck","freeflow","",""
"107","cp","freeflow","",""
"108","cn","freeflow","",""
"109","s4","freeflow","",""
"110","s5","freeflow","",""
"111","s6","freeflow","",""
"112","s7","freeflow","",""
"113","s8","freeflow","",""
"114","s9","freeflow","",""
"115","s10","freeflow","",""
"116","s11","freeflow","",""
"117","s12","freeflow","",""
"118","s13","freeflow","",""
"119","s14","freeflow","",""
"120","s15","freeflow","",""
"121","da1","freeflow","","RU"
"122","da2","freeflow","",""
"125","cha1","freeflow","","RU"
"126","cha2","freeflow","","RU"
"127","chjp","freeflow","",""
"134","lyg4","mts","",""
"135","lyg5","mts","",""
"138","pyg","mts","",""
"140","rss","essl","",""
"141","s1","essl","",""
"142","s2","essl","",""
"143","s3","essl","",""
"144","s4","essl","",""
"145","s5","essl","",""
"146","c","essl","",""
"147","l","essl","",""
"149","sa","freeflow","",""
"150","p","essl","",""
"151","x","essl","",""
"152","a","essl","",""
"153","b","essl","",""
"154","r","essl","",""
"155","d","essl","",""
"156","ca","essl","",""
"157","cb","essl","",""
"159","cd","essl","",""
"160","ce","essl","",""
"161","s16","freeflow","",""
"162","s17","freeflow","",""
"163","s18","freeflow","",""
"164","s19","freeflow","",""
"165","s20","freeflow","",""
"167","cm","freeflow","",""
"168","co","freeflow","",""
"173","tc","freeflow","",""
"174","td","freeflow","",""
"175","te","freeflow","",""
"176","clns","map","",""
"177","pg","freeflow","",""
"178","pch","freeflow","",""
"181","pg","essl","",""
"182","pch","essl","",""
"184","par","freeflow","",""
"185","i6g1","freeflow","",""
"186","par","essl","",""
"188","pi6gs","essl","",""
"189","ciw","essl","",""
"190","cis","essl","",""
"191","nus","essl","US",""
"192","cx","freeflow","",""
"197","gi3","freeflow","","RU"
"198","di3","freeflow","",""
"199","sky","freeflow","",""
"200","pcn","freeflow","",""
"201","pca","essl","",""
"203","cg1","essl","",""
"204","ion_acl","essl","",""
"205","api_acl","essl","",""
"206","dsa_acl","essl","",""
"207","i6ion_acl","essl","",""
"208","i6api_acl","essl","",""
"209","i6dsa_acl","essl","",""
"214","spch1","freeflow","",""
"215","spch2","freeflow","",""
"216","spch3","freeflow","",""
"217","spch4","freeflow","",""
"218","spch5","freeflow","",""
"219","spch6","freeflow","",""
"220","spch7","freeflow","",""
"223","spch10","freeflow","",""
"224","spch11","freeflow","",""
"225","spch12","freeflow","",""
"226","spch13","freeflow","",""
"227","spch14","freeflow","",""
"228","spch15","freeflow","",""
"229","spch16","freeflow","",""
"230","spch17","freeflow","",""
"231","spch18","freeflow","",""
"232","spch19","freeflow","",""
"233","spch20","freeflow","",""
"234","spch21","freeflow","",""
"236","spch23","freeflow","",""
"237","spch24","freeflow","",""
"238","spch25","freeflow","",""
"239","spch26","freeflow","",""
"240","spch27","freeflow","",""
"242","spch29","freeflow","",""
"243","spch30","freeflow","",""
"244","chjp2","freeflow","",""
"245","breeze245","ddc","",""
"246","breeze246","ddc","",""
"247","i6mm3","freeflow","",""
"248","dscmm3","freeflow","",""
"257","pdsg","freeflow","",""
"258","pi6g","freeflow","",""
"259","spch31","freeflow","",""
"260","spch32","freeflow","",""
"261","spch33","freeflow","",""
"262","spch34","freeflow","",""
"263","spch35","freeflow","",""
"264","spch36","freeflow","",""
"265","spch37","freeflow","",""
"266","spch38","freeflow","",""
"267","spch39","freeflow","",""
"268","spch40","freeflow","",""
"269","http_inges","ingest","",""
"270","cobra270","cobra","",""
"271","c2s271","c2s","",""
"274","ingest","ingest","",""
"275","llns2","freeflow","",""
"277","pch2","freeflow","",""
"278","pch2","essl","",""
"279","pgsni","essl","",""
"280","spch41","freeflow","",""
"281","spch42","freeflow","",""
"282","spch43","freeflow","",""
"283","spch44","freeflow","",""
"284","spch45","freeflow","",""
"285","spch46","freeflow","",""
"286","spch47","freeflow","",""
"287","spch48","freeflow","",""
"288","spch49","freeflow","",""
"289","spch50","freeflow","",""
"290","d","freeflow","",""
"291","h","freeflow","",""
"294","s6","essl","",""
"295","s7","essl","",""
"296","s8","essl","",""
"297","s9","essl","",""
"298","s10","essl","",""
"299","s11","essl","",""
"300","s12","essl","",""
"301","s13","essl","",""
"302","s14","essl","",""
"303","s15","essl","",""
"304","s21","freeflow","",""
"305","s22","freeflow","",""
"306","s23","freeflow","",""
"307","s24","freeflow","",""
"308","s25","freeflow","",""
"309","s26","freeflow","",""
"310","s27","freeflow","",""
"311","s28","freeflow","",""
"312","s29","freeflow","",""
