"network","ecor_name","region","region_name","hw_category","servers","metro_area"
"FF","FABRIC-ATL3","47534","FABRIC-ATL32p","1x8_BISON_NVME-K","60","Atlanta"
"FF","FABRIC-ATL3","47563","FABRIC-ATL32l","1N_X8_SSD-I_64G","116","Atlanta"
"FF","FABRIC-EWR","48590","FABRIC-EWR13y","1U_X7p_NVME-J_96G_100GE","120","New_York"
"FF","FABRIC-EWR4","48891","FABRIC-EWR43i","1N_X8_SSD-I","38","New_York"
"FF","FABRIC-EWR4","48891","FABRIC-EWR43i","1U_X7p_NVME-J_96G_100GE","12","New_York"
"FF","FABRIC-EWR4","48891","FABRIC-EWR43i","1x11_CARIBOU_NVME-L","6","New_York"
"FF","FABRIC-EWR4","48891","FABRIC-EWR43i","1x8_BISON_NVME-K","10","New_York"
"FF","FABRIC-IAD4","49158","FABRIC-IAD42s","1x11_CARIBOU_NVME-P","98","Washington_DC"
"FF","FABRIC-EWR4","49257","FABRIC-EWR43j","1x11_CARIBOU_NVME-P","98","New_York"
"FF","FABRIC-DFW2","49440","FABRIC-DFW24u","1x11_CARIBOU_NVME-P","112","Dallas"
"FF","FABRIC-MIA2","49579","FABRIC-MIA22s","1x11_CARIBOU_NVME-P","84","Miami"
"FF","FABRIC-ORD3","49634","FABRIC-ORD31x","1x11_CARIBOU_NVME-P","116","Chicago"
"FF","FABRIC-MIA3","49926","FABRIC-MIA32b","1x11_CARIBOU_NVME-P","84","Miami"
"FF","FABRIC-LAX","50463","FABRIC-LAX13k","1U_X7p_NVME-J_96G_100GE","110","Los_Angeles"
"FF","FABRIC-FRA3","50527","FABRIC-FRA32g","1x11_CARIBOU_NVME-P","56","Frankfurt"
"FF","FABRIC-GRU","50535","FABRIC-GRU12h","1x11_CARIBOU_NVME-L","85","Sao_Paulo"
"FF","FABRIC-PAR4","50565","FABRIC-PAR41n","1x11_CARIBOU_NVME-P","56","Paris"
"FF","FABRIC-STO2","50686","FABRIC-STO22p","1x11_CARIBOU_NVME-L","42","Stockholm"
"FF","FABRIC-MAD3","50688","FABRIC-MAD3r","1x11_CARIBOU_NVME-L","70","Madrid"
"FF","FABRIC-LON","50917","FABRIC-LON12o","1x11_CARIBOU_NVME-P","56","London"
"FF","FABRIC-DFW","51174","FABRIC-DFW14g","1x11_CARIBOU_NVME-P","112","Dallas"
"FF","FABRIC-AMS","51192","FABRIC-AMS12g","1x11_CARIBOU_NVME-L","56","Amsterdam"
"FF","FABRIC-ATL4","51472","FABRIC-ATL4c","1x11_CARIBOU_NVME-P","98","Atlanta"
"FF","FABRIC-MIL2","51683","FABRIC-MIL2c","1x11_CARIBOU_NVME-L","84","Milan"
"FF","FABRIC-PAR3","51743","FABRIC-PAR34r","1x6_CARIBOU_NVME-J","120","Paris"
"FF","FABRIC-LON2","52001","FABRIC-LON22c","1x11_CARIBOU_NVME-P","56","London"
"FF","FABRIC-FRA2","52167","FABRIC-FRA22p","1U_X7p_NVME-J_96G_100GE","132","Frankfurt"
"FF","FABRIC-SYD","52183","FABRIC-SYD1c","1x11_CARIBOU_NVME-L","128","Sydney"
"FF","FABRIC-MEL","52190","FABRIC-MEL12c","1x11_CARIBOU_NVME-L","52","Melbourne"
"FF","FABRIC-FRA4","52250","FABRIC-FRA43c","1x11_CARIBOU_NVME-P","52","Frankfurt"
"FF","FABRIC-EWR3","52262","FABRIC-EWR36s","1U_X7p_NVME-J_96G_100GE","81","New_York"
"FF","FABRIC-MIL","52268","FABRIC-MIL12u","1x11_CARIBOU_NVME-P","59","Milan"
"FF","FABRIC-STO","52331","FABRIC-STO12d","1x11_CARIBOU_NVME-L","42","Stockholm"
"FF","FABRIC-ORD","52589","FABRIC-ORD15d","1U_X7p_NVME-J_96G_100GE","115","Chicago"
"FF","FABRIC-DEN","52590","FABRIC-DEN1z","1x8_BISON_NVME-N_256G","76","Denver"
"FF","FABRIC-DFW3","52591","FABRIC-DFW33r","1U_X7p_NVME-J_96G_100GE","92","Dallas"
"FF","FABRIC-HKG","52597","FABRIC-HKG13d","1x11_CARIBOU_NVME-L","30","Hong_Kong"
"FF","FABRIC-SIN","52598","FABRIC-SIN13m","1x11_CARIBOU_NVME-P","99","Singapore"
"FF","FABRIC-FRA","52599","FABRIC-FRA12d","1U_X7p_NVME-J_96G_100GE","105","Frankfurt"
"FF","FABRIC-TYO","52600","FABRIC-TYO13l","1U_X7p_NVME-J_96G_100GE","47","Tokyo"
"FF","FABRIC-AMS2","52625","FABRIC-AMS23o","1x8_BISON_NVME-K","96","Amsterdam"
"FF","FABRIC-PAR2","52626","FABRIC-PAR23r","1x6_CARIBOU_NVME-J","78","Paris"
"FF","FABRIC-ATL","52655","FABRIC-ATL13s","1x11_CARIBOU_NVME-L","70","Atlanta"
"FF","FABRIC-LAX3","52978","FABRIC-LAX34s","1x11_CARIBOU_NVME-L","84","Los_Angeles"
"FF","FABRIC-LON3","53071","FABRIC-LON31n","1x11_CARIBOU_NVME-L","98","London"
"FF","FABRIC-PHL","53188","FABRIC-PHL1b","1x11_CARIBOU_NVME-P","70","Philadelphia"
"FF","FABRIC-IAD5","53419","FABRIC-IAD51j","1x11_CARIBOU_NVME-P","112","Washington_DC"
"FF","FABRIC-LON4","53544","FABRIC-LON44s","1x11_CARIBOU_NVME-P","64","London"
"FF","FABRIC-SJC","53786","FABRIC-SJC15w","1x11_CARIBOU_NVME-P","98","San_Jose"
"FF","FABRIC-MIA","53854","FABRIC-MIA14c","1x11_CARIBOU_NVME-P","83","Miami"
"FF","FABRIC-BOG","53902","FABRIC-BOGy","1x11_CARIBOU_NVME-L","90","Bogota"
"FF","FABRIC-LAX2","54165","FABRIC-LAX22m","1x11_CARIBOU_NVME-P","107","Los_Angeles"
